STATEFIPS;STATE;ZIPCODE;NumofReturns;TotalIncome;Salaries;NumofRetwithDivis;Divis;NumofRetwithRE;Retax
36;NY;10607;4090.0000;435973.0000;319207.0000;1130.0000;6865.0000;900.0000;13056.0000
36;NY;10701;33990.0000;1688066.0000;1279781.0000;3200.0000;13455.0000;1880.0000;14626.0000
36;NY;10703;11280.0000;654992.0000;498872.0000;1450.0000;5027.0000;990.0000;7833.0000
36;NY;10704;17820.0000;1211263.0000;907075.0000;2960.0000;10873.0000;1800.0000;14975.0000
36;NY;10705;20050.0000;1012687.0000;756229.0000;1780.0000;10478.0000;1080.0000;10156.0000
36;NY;10706;4440.0000;919317.0000;567633.0000;2310.0000;34224.0000;1180.0000;24582.0000
36;NY;10707;5340.0000;705031.0000;488163.0000;2090.0000;20136.0000;1070.0000;14524.0000
36;NY;10708;11440.0000;3677966.0000;1780879.0000;5350.0000;148379.0000;2990.0000;66529.0000
36;NY;10709;5030.0000;755923.0000;502015.0000;2220.0000;18989.0000;1120.0000;20131.0000
36;NY;10710;14520.0000;1216727.0000;861286.0000;3420.0000;20536.0000;2340.0000;22922.0000
36;NY;10801;20160.0000;1477827.0000;1097776.0000;3110.0000;20856.0000;1940.0000;24483.0000
36;NY;10803;5940.0000;1703351.0000;1069515.0000;2830.0000;53338.0000;1760.0000;47826.0000
36;NY;10804;7120.0000;1865758.0000;1067160.0000;4190.0000;65032.0000;2360.0000;51537.0000
36;NY;10805;9570.0000;737943.0000;499885.0000;1780.0000;14148.0000;840.0000;10048.0000
36;NY;10901;11550.0000;1537170.0000;785145.0000;3740.0000;35385.0000;2070.0000;32356.0000
36;NY;10913;2610.0000;411303.0000;262864.0000;1030.0000;9217.0000;560.0000;8631.0000
36;NY;10916;2330.0000;247389.0000;176873.0000;690.0000;3255.0000;340.0000;3879.0000
36;NY;10917;1100.0000;101790.0000;71228.0000;260.0000;846.0000;170.0000;2323.0000
36;NY;10918;5980.0000;537366.0000;387044.0000;1470.0000;8098.0000;860.0000;9849.0000
36;NY;10919;620.0000;47119.0000;33615.0000;130.0000;393.0000;70.0000;621.0000
36;NY;10920;4740.0000;449638.0000;331098.0000;1460.0000;6888.0000;870.0000;10820.0000
36;NY;10921;2340.0000;185489.0000;131877.0000;560.0000;1905.0000;310.0000;3337.0000
36;NY;10923;5130.0000;352770.0000;255707.0000;800.0000;2140.0000;610.0000;7297.0000
36;NY;10924;6680.0000;685002.0000;450724.0000;1800.0000;10591.0000;930.0000;11712.0000
36;NY;10925;2520.0000;197711.0000;141242.0000;600.0000;2446.0000;390.0000;3525.0000
36;NY;10926;1990.0000;148403.0000;112265.0000;300.0000;974.0000;200.0000;1839.0000
36;NY;10927;6560.0000;304118.0000;216549.0000;560.0000;2542.0000;400.0000;4570.0000
36;NY;10928;2300.0000;142394.0000;102539.0000;380.0000;1169.0000;160.0000;1495.0000
36;NY;10930;4470.0000;412558.0000;305013.0000;1070.0000;4846.0000;690.0000;8964.0000
36;NY;10940;26850.0000;1567715.0000;1170468.0000;3160.0000;12141.0000;2430.0000;19380.0000
